S.no,Cadmium,Chromium,Copper,Nickel,Lead,Zinc,Classification
1,0.33,21.1,18.2,18.1,21.8,80.3,Not Organic but fit for cultivation
2,0.332,22.9,16.4,18.2,23.3,91.3,Not Organic but fit for cultivation
3,0.057,9.16,3.69,4.04,10.8,19.4,Organic
4,0.026,11.6,0.62,4.21,10.7,19.8,Organic
5,0.468,16.6,36.4,5.87,31.0,19.4,Avoid Pesticide
6,0.382,1.59,7.66,1.57,27.6,40.1,Organic
7,0.044,10.4,6.49,5.54,14.7,30.0,Organic
8,0.387,12.6,9.98,3.51,41.3,20.0,Organic
9,0.153,26.3,14.5,9.32,21.9,27.4,Organic
10,0.277,44.9,36.9,35.2,34.7,93.3,Not Organic but fit for cultivation
11,0.295,25.1,26.6,28.8,27.9,104.0,Not Organic but fit for cultivation
12,0.173,34.1,11.9,13.1,18.2,63.6,Not Organic but fit for cultivation
13,0.059,35.7,24.4,30.7,19.8,91.1,Not Organic but fit for cultivation
14,0.203,7.42,11.1,6.69,18.5,37.6,Organic
15,0.215,17.3,10.8,9.49,26.5,55.0,Avoid Pesticide
16,1.17,22.9,17.7,21.1,35.2,96.1,Not Organic but fit for cultivation
17,1.18,16.2,6.86,13.0,26.4,86.6,Not Organic but fit for cultivation
18,0.215,37.7,22.3,17.0,42.6,95.2,Not Organic but fit for cultivation
19,0.276,21.0,31.1,20.8,42.5,61.7,Not Organic but fit for cultivation
20,0.337,8.04,13.4,4.3,106.0,25.1,Not Organic but fit for cultivation
21,0.163,17.2,13.3,5.04,70.3,32.4,Organic
22,0.41,39.0,48.4,35.9,199.0,153.0,Not Organic but fit for cultivation
23,0.235,19.0,14.7,18.4,81.7,92.0,Not Organic but fit for cultivation
24,0.19,3.01,4.95,1.07,17.5,13.8,Organic
25,0.173,3.06,5.72,1.42,23.8,14.3,Organic
26,0.301,1.13,2.72,1.19,24.7,15.2,Organic
27,0.422,1.47,4.5,1.46,26.6,16.1,Organic
28,0.319,26.8,79.0,21.9,44.2,84.8,Not Organic but fit for cultivation
29,0.342,23.6,28.7,23.5,47.6,101.0,Not Organic but fit for cultivation
30,0.334,32.2,22.8,21.1,62.7,114.0,Not Organic but fit for cultivation
31,0.069,15.8,10.5,8.34,22.1,22.5,Organic
32,0.099,22.3,7.04,7.99,27.3,25.4,Organic
33,0.289,30.2,29.3,37.0,37.5,86.8,Not Organic but fit for cultivation
34,0.749,49.1,16.4,29.4,83.6,127.0,Not Organic but fit for cultivation
35,0.31,27.0,37.3,15.7,98.9,77.2,Not Organic but fit for cultivation
36,0.372,25.6,32.7,14.2,98.7,84.4,Not Organic but fit for cultivation
37,0.216,16.2,22.0,12.7,24.6,70.9,Not Organic but fit for cultivation
38,0.226,24.5,24.2,21.6,37.8,92.5,Not Organic but fit for cultivation
39,0.182,32.8,19.1,33.6,31.0,84.1,Not Organic but fit for cultivation
40,0.219,31.5,16.5,31.8,24.4,79.8,Not Organic but fit for cultivation
41,1.47,30.4,22.8,25.9,1090.0,245.0,Not fit for cultivation
42,1.06,16.9,19.0,8.57,467.0,127.0,Not Organic but fit for cultivation
43,0.189,15.2,26.3,13.2,35.4,104.0,Not Organic but fit for cultivation
44,0.308,12.8,7.15,3.04,45.4,18.1,Organic
45,1.07,20.8,58.4,29.9,119.0,135.0,Not Organic but fit for cultivation
46,2.7,15.7,58.2,49.2,79.4,345.0,Not fit for cultivation
47,0.164,7.72,11.5,9.84,20.7,31.1,Organic
48,0.471,39.4,19.7,28.9,37.2,154.0,Not Organic but fit for cultivation
49,0.178,34.4,15.1,24.2,25.3,91.3,Not Organic but fit for cultivation
50,0.104,7.21,5.84,2.66,56.6,9.4,Organic
51,0.151,18.1,9.65,7.73,51.4,59.8,Not Organic but fit for cultivation
52,0.211,187.0,31.8,70.3,21.5,80.9,Not Organic but fit for cultivation
53,0.129,13.4,5.43,5.86,45.9,15.4,Organic
54,0.188,61.8,11.4,26.9,27.4,92.4,Not Organic but fit for cultivation
55,0.271,37.7,20.3,30.4,23.9,142.0,Not Organic but fit for cultivation
56,0.341,20.6,23.9,11.0,30.2,32.4,Organic
57,0.114,26.9,16.3,36.3,13.9,35.2,Avoid Pesticide
58,0.093,12.1,7.11,6.5,17.7,25.0,Organic
59,0.146,17.1,12.5,8.36,30.9,37.1,Organic
60,0.137,27.5,12.1,17.0,25.3,48.1,Avoid Pesticide
61,0.196,24.2,13.8,15.8,43.0,64.7,Not Organic but fit for cultivation
62,0.297,18.0,50.6,17.6,48.7,96.7,Not Organic but fit for cultivation
63,0.409,14.9,62.1,11.9,65.5,96.6,Not Organic but fit for cultivation
64,0.236,5.8,5.72,2.75,43.1,13.4,Organic
65,0.208,18.0,3.06,7.4,34.4,31.0,Organic
66,0.172,27.0,22.0,35.6,36.0,86.2,Not Organic but fit for cultivation
67,0.188,33.2,19.9,43.0,29.3,77.2,Not Organic but fit for cultivation
68,0.177,34.1,20.6,28.7,36.0,70.2,Not Organic but fit for cultivation
69,0.094,20.4,17.0,23.9,38.4,51.3,Avoid Pesticide
70,0.246,25.6,13.1,18.3,39.7,58.3,Not Organic but fit for cultivation
71,0.018,9.77,3.84,5.75,21.3,19.0,Organic
72,0.238,5.57,24.1,3.39,116.0,13.4,Not Organic but fit for cultivation
73,0.304,7.83,64.0,6.09,244.0,24.3,Not Organic but fit for cultivation
74,0.293,1.69,2.15,1.57,27.1,17.3,Organic
75,0.312,2.71,6.24,1.75,40.2,29.2,Organic
76,0.188,2.46,4.37,2.16,36.6,20.1,Organic
77,0.058,28.4,13.1,16.8,22.6,66.6,Not Organic but fit for cultivation
78,0.325,35.0,48.8,42.2,239.0,150.0,Not Organic but fit for cultivation
79,0.213,33.4,31.4,38.6,141.0,142.0,Not Organic but fit for cultivation
80,0.275,31.0,9.88,12.8,21.1,65.4,Not Organic but fit for cultivation
81,0.211,57.7,11.5,24.2,26.0,86.8,Not Organic but fit for cultivation
82,1.25,2.69,24.5,5.06,347.0,122.0,Not Organic but fit for cultivation
83,0.741,4.58,40.2,5.12,406.0,73.6,Not Organic but fit for cultivation
84,0.216,21.1,25.2,16.2,58.6,74.8,Not Organic but fit for cultivation
85,0.195,20.3,20.5,14.7,42.3,90.9,Not Organic but fit for cultivation
86,0.212,6.71,10.5,3.98,56.0,26.8,Organic
87,0.567,2.3,6.73,2.75,41.1,69.1,Not Organic but fit for cultivation
88,0.152,30.3,19.1,16.6,16.9,54.4,Avoid Pesticide
89,0.223,30.0,14.7,16.2,28.7,59.6,Not Organic but fit for cultivation
90,0.119,20.2,12.2,4.88,30.9,38.4,Organic
91,0.204,20.0,44.5,9.9,40.0,66.1,Not Organic but fit for cultivation
92,0.069,19.8,4.68,7.33,18.0,29.8,Organic
93,0.101,17.6,5.9,4.81,26.1,23.7,Organic
94,0.302,27.0,16.7,17.6,54.3,94.3,Not Organic but fit for cultivation
95,0.516,24.2,15.4,25.6,34.8,85.8,Not Organic but fit for cultivation
96,0.199,27.1,14.0,23.4,22.7,51.1,Avoid Pesticide
97,0.157,30.0,9.12,17.8,21.9,45.5,Avoid Pesticide
98,0.217,33.2,28.7,17.6,20.1,69.5,Not Organic but fit for cultivation
99,0.083,17.5,11.3,14.3,53.4,60.1,Not Organic but fit for cultivation
100,0.2,22.2,2.15,6.05,23.0,14.2,Organic
101,0.205,26.0,4.34,6.16,28.7,14.5,Organic
102,0.188,35.9,24.9,23.9,36.0,74.7,Not Organic but fit for cultivation
103,0.274,45.1,34.7,38.7,23.1,105.0,Not Organic but fit for cultivation
104,0.206,28.0,27.9,22.4,42.6,105.0,Not Organic but fit for cultivation
105,0.175,23.1,23.7,19.5,33.3,86.9,Not Organic but fit for cultivation
106,0.179,28.2,14.1,17.7,45.1,45.7,Avoid Pesticide
107,0.284,3.9,22.9,2.95,28.7,35.0,Organic
108,0.11,15.2,23.6,5.28,87.8,30.6,Avoid Pesticide
109,0.255,14.6,55.6,7.77,199.0,24.2,Not Organic but fit for cultivation
110,0.1,2.38,6.57,2.18,58.0,20.7,Organic
111,0.346,1.71,6.79,1.55,14.4,54.2,Avoid Pesticide
112,0.287,0.872,2.6,0.909,41.5,29.2,Organic
113,0.325,32.7,24.1,33.3,80.6,94.5,Not Organic but fit for cultivation
114,0.414,26.2,27.6,25.4,100.0,121.0,Not Organic but fit for cultivation
115,0.037,16.3,2.03,4.5,35.2,17.8,Organic
116,0.054,19.6,7.76,16.9,8.66,24.4,Organic
117,0.256,15.9,15.5,9.82,43.9,69.3,Not Organic but fit for cultivation
118,0.219,17.5,19.1,11.2,50.4,75.1,Not Organic but fit for cultivation
119,0.275,29.8,18.9,21.2,48.4,84.3,Not Organic but fit for cultivation
120,0.184,15.2,7.58,9.86,22.3,40.4,Organic
121,0.356,39.2,40.5,34.7,54.7,140.0,Not Organic but fit for cultivation
122,0.793,47.2,72.3,57.2,86.5,234.0,Not Organic but fit for cultivation
123,0.21,12.2,15.6,17.5,16.4,64.2,Not Organic but fit for cultivation
124,0.199,16.1,15.6,30.1,19.5,55.7,Avoid Pesticide
125,0.241,37.4,16.1,17.1,40.7,77.3,Not Organic but fit for cultivation
126,0.355,24.2,19.5,22.1,26.9,91.7,Not Organic but fit for cultivation
127,0.341,29.1,19.5,24.8,28.2,97.5,Not Organic but fit for cultivation
128,0.94,5.75,27.9,5.41,166.0,78.8,Not Organic but fit for cultivation
129,0.363,1.25,19.2,1.34,24.0,26.7,Organic
130,0.165,27.9,16.1,33.9,18.8,61.4,Not Organic but fit for cultivation
131,0.17,26.9,14.0,26.9,36.2,54.3,Avoid Pesticide
132,0.25,31.3,29.3,18.4,22.0,53.1,Avoid Pesticide
133,0.672,3.73,4.57,2.62,89.9,55.2,Avoid Pesticide
134,0.866,3.06,15.1,4.23,103.0,41.5,Not Organic but fit for cultivation
135,0.176,6.95,8.99,2.45,56.0,33.6,Organic
136,0.462,14.9,11.7,5.93,37.8,42.9,Organic
137,0.106,29.9,9.41,26.8,15.5,68.2,Not Organic but fit for cultivation
138,0.222,30.9,12.1,22.5,26.1,64.9,Not Organic but fit for cultivation
139,0.211,22.9,13.8,18.2,42.0,65.8,Not Organic but fit for cultivation
140,0.584,20.8,19.9,9.4,294.0,122.0,Not Organic but fit for cultivation
141,0.292,4.78,16.4,4.82,77.9,31.2,Organic
142,0.103,22.3,10.4,17.0,19.0,61.9,Not Organic but fit for cultivation
143,0.071,29.6,10.9,25.1,30.9,88.0,Not Organic but fit for cultivation
144,0.112,8.21,19.1,6.93,53.4,51.0,Avoid Pesticide
145,0.162,12.3,8.62,18.3,20.5,84.0,Not Organic but fit for cultivation
146,0.1,16.2,14.5,13.7,31.5,44.8,Organic
147,0.114,13.1,8.83,9.08,27.1,33.8,Organic
148,0.684,33.5,23.8,30.5,37.6,101.0,Not Organic but fit for cultivation
149,1.13,33.6,26.2,28.1,35.2,126.0,Not Organic but fit for cultivation
150,0.147,13.8,14.5,9.78,21.4,71.4,Not Organic but fit for cultivation
151,0.146,23.8,16.9,15.8,27.9,65.2,Not Organic but fit for cultivation
152,0.159,43.3,21.4,28.8,36.9,77.1,Not Organic but fit for cultivation
153,0.206,40.5,24.0,28.9,31.4,88.4,Not Organic but fit for cultivation
154,2.17,17.5,48.7,15.1,18.2,208.0,Not Organic but fit for cultivation
155,1.01,27.7,31.4,23.0,29.7,102.0,Not Organic but fit for cultivation
156,0.535,1.14,4.81,1.56,24.7,30.0,Organic
157,0.446,36.2,28.5,4.06,33.8,65.5,Not Organic but fit for cultivation
158,0.237,1.04,2.81,1.03,36.8,33.5,Organic
159,0.132,4.17,3.97,2.1,32.0,7.47,Organic
160,0.278,19.8,20.3,9.87,33.1,52.2,Avoid Pesticide
161,0.333,38.2,44.5,25.8,32.0,126.0,Not Organic but fit for cultivation
162,0.157,28.9,16.6,22.0,24.7,62.3,Not Organic but fit for cultivation
163,0.198,39.0,16.4,30.7,23.2,89.3,Not Organic but fit for cultivation
164,0.887,22.8,31.7,27.9,47.2,69.2,Not Organic but fit for cultivation
165,0.341,20.3,25.5,19.4,43.1,62.7,Not Organic but fit for cultivation
166,0.104,8.26,13.7,5.38,12.1,49.2,Avoid Pesticide
167,0.203,18.0,13.4,15.1,17.7,64.5,Not Organic but fit for cultivation
168,0.138,26.3,13.8,31.9,20.2,77.0,Not Organic but fit for cultivation
169,0.494,0.864,7.92,1.57,53.5,58.5,Not Organic but fit for cultivation
170,0.55,1.2,4.96,1.4,42.4,51.3,Avoid Pesticide
171,1.11,24.8,91.2,18.4,57.4,174.0,Not Organic but fit for cultivation
172,0.374,26.5,14.3,15.9,60.3,103.0,Not Organic but fit for cultivation
173,1.73,31.8,116.0,48.4,220.0,454.0,Not fit for cultivation
174,6.29,30.9,101.0,47.9,231.0,640.0,Not fit for cultivation
175,0.084,16.6,5.76,4.18,13.9,21.2,Organic
176,0.389,19.3,68.0,22.2,38.7,80.6,Not Organic but fit for cultivation
177,0.243,7.54,11.2,4.11,35.7,33.6,Organic
178,0.465,2.45,5.65,3.55,40.0,25.2,Organic
179,0.146,19.1,15.9,13.5,34.5,55.3,Avoid Pesticide
180,0.143,9.93,9.41,4.05,64.4,19.5,Organic
181,0.242,32.6,28.3,26.5,63.2,130.0,Not Organic but fit for cultivation
182,0.295,40.1,22.9,17.2,45.4,104.0,Not Organic but fit for cultivation
183,0.087,13.4,14.8,12.1,41.4,55.2,Avoid Pesticide
184,0.199,19.6,7.45,7.49,42.5,36.1,Organic
185,0.232,31.5,8.02,19.3,34.4,54.0,Avoid Pesticide
186,0.268,14.6,5.1,3.72,57.2,16.2,Organic
187,0.614,14.4,14.6,7.31,159.0,52.3,Not Organic but fit for cultivation
188,0.123,19.2,2.82,5.27,28.4,34.4,Organic
189,0.686,12.9,6.55,4.94,42.9,27.7,Avoid Pesticide
190,0.182,26.9,14.5,19.0,20.1,55.7,Avoid Pesticide
191,0.306,69.1,36.4,44.1,113.0,38.3,Not Organic but fit for cultivation
192,0.26,196.0,73.1,221.0,24.5,96.2,Not fit for cultivation
193,0.419,34.5,56.0,25.1,101.0,153.0,Not Organic but fit for cultivation
194,0.185,22.7,31.0,19.8,33.7,103.0,Not Organic but fit for cultivation
195,0.313,1.03,7.03,1.59,37.3,28.6,Organic
196,0.637,1.45,8.53,2.08,40.1,25.4,Avoid Pesticide
197,0.716,43.3,16.7,32.9,47.7,158.0,Not Organic but fit for cultivation
198,0.348,4.54,12.3,4.43,38.0,48.1,Avoid Pesticide
199,0.045,2.21,0.605,0.918,5.47,0.805,Organic
200,0.053,2.22,0.605,1.02,6.74,5.26,Organic
201,0.642,18.1,14.5,8.78,77.3,37.0,Avoid Pesticide
202,0.338,12.8,4.09,4.16,33.7,16.0,Organic
203,0.375,21.2,73.9,16.4,63.4,197.0,Not Organic but fit for cultivation
204,0.288,17.4,19.3,18.9,35.1,77.6,Not Organic but fit for cultivation
205,0.117,13.1,23.7,10.4,80.8,26.4,Avoid Pesticide
206,0.214,15.7,22.0,6.59,84.4,48.3,Avoid Pesticide
207,0.212,40.2,21.4,38.1,31.0,113.0,Not Organic but fit for cultivation
208,0.144,20.0,14.8,17.1,18.0,62.6,Not Organic but fit for cultivation
209,0.142,28.0,4.15,16.2,46.4,31.0,Organic
210,0.169,41.1,6.33,22.2,23.4,66.6,Not Organic but fit for cultivation
211,0.186,20.7,6.17,4.64,24.6,14.3,Organic
212,0.068,9.0,2.99,3.5,22.9,22.0,Organic
213,0.107,11.2,5.29,4.93,18.4,31.8,Organic
214,0.214,4.77,12.3,2.63,37.9,55.5,Avoid Pesticide
215,0.443,23.5,52.7,21.7,165.0,146.0,Not Organic but fit for cultivation
216,0.276,1.63,1.81,1.33,38.0,11.6,Organic
217,0.068,4.67,9.54,1.86,18.0,5.86,Organic
218,0.522,26.0,27.0,24.7,122.0,148.0,Not Organic but fit for cultivation
219,0.19,8.21,14.3,6.28,32.5,44.7,Organic
220,0.436,2.47,3.88,3.01,38.2,27.8,Organic
221,0.254,3.13,4.56,2.25,14.9,44.4,Organic
222,0.24,10.8,8.91,2.66,14.9,15.3,Organic
223,0.412,10.7,11.3,3.44,14.6,15.9,Organic
224,0.179,20.4,12.7,14.2,20.1,62.8,Not Organic but fit for cultivation
225,0.213,14.4,14.7,15.8,18.3,68.5,Not Organic but fit for cultivation
